"","CAS","substance","obs","obsstddev","airpollutanttype","FID_5kmbuf","BUFF_DIST","summary","mod","MPCAID","site"
"187","78-93-3","Methyl Ethyl Ketone",0.508778079,0.361875891,"airtoxics",42,5,"Mean",0.000433324817719937,"270213401","270213401"
"188","78-93-3","Methyl Ethyl Ketone",0.508778079,0.361875891,"airtoxics",42,5,"Minimum",0.000275078091223181,"270213401","270213401"
"189","78-93-3","Methyl Ethyl Ketone",0.508778079,0.361875891,"airtoxics",42,5,"Maximum",0.000593796889925232,"270213401","270213401"
"190","79-00-5","1,1,2-Trichloroethane",NA,NA,"airtoxics",42,5,"Maximum",0.000386163301300257,"270213401","270213401"
"191","79-00-5","1,1,2-Trichloroethane",NA,NA,"airtoxics",42,5,"Mean",0.000386163301300257,"270213401","270213401"
"192","79-00-5","1,1,2-Trichloroethane",NA,NA,"airtoxics",42,5,"Minimum",0.000386163301300257,"270213401","270213401"
"193","79-01-6","Trichloroethylene",NA,NA,"airtoxics",42,5,"Minimum",0.00410109739080866,"270213401","270213401"
"194","79-01-6","Trichloroethylene",NA,NA,"airtoxics",42,5,"Mean",0.00410144029538584,"270213401","270213401"
"195","79-01-6","Trichloroethylene",NA,NA,"airtoxics",42,5,"Maximum",0.00410217082244202,"270213401","270213401"
"196","79-34-5","1,1,2,2-Tetrachloroethane",NA,NA,"airtoxics",42,5,"Maximum",0.000839570977527182,"270213401","270213401"
"197","79-34-5","1,1,2,2-Tetrachloroethane",NA,NA,"airtoxics",42,5,"Mean",0.000839461682394009,"270213401","270213401"
"198","79-34-5","1,1,2,2-Tetrachloroethane",NA,NA,"airtoxics",42,5,"Minimum",0.000839445507153869,"270213401","270213401"
"199","95-63-6","1,2,4-Trimethylbenzene",NA,NA,"airtoxics",42,5,"Minimum",0.0000123311840525275,"270213401","270213401"
"200","95-63-6","1,2,4-Trimethylbenzene",NA,NA,"airtoxics",42,5,"Mean",0.0000146060250756364,"270213401","270213401"
"201","95-63-6","1,2,4-Trimethylbenzene",NA,NA,"airtoxics",42,5,"Maximum",0.0000180966276275285,"270213401","270213401"
"202","E1647635","PM2.5",4.86621621621622,2.63623400511596,"criteria",42,5,"Minimum",4.00586638646911,"270213401","270213401"
"203","E1647635","PM2.5",4.86621621621622,2.63623400511596,"criteria",42,5,"Mean",4.07141149689256,"270213401","270213401"
"204","E1647635","PM2.5",4.86621621621622,2.63623400511596,"criteria",42,5,"Maximum",4.13879311755141,"270213401","270213401"
"205","E1647635","PM2.5",5.93859146144847,5.15778130918492,"criteria",62,5,"Mean",4.07141149689256,"270317810","270317810"
"206","E1647635","PM2.5",5.93859146144847,5.15778130918492,"criteria",62,5,"Minimum",4.00586638646911,"270317810","270317810"
"207","E1647635","PM2.5",5.93859146144847,5.15778130918492,"criteria",62,5,"Maximum",4.13879311755141,"270317810","270317810"
"208","E1647635","PM2.5",7.00700691464543,4.66082891537049,"criteria",41,5,"Mean",12.8876966376734,"270353204","270353204"
"209","E1647635","PM2.5",7.00700691464543,4.66082891537049,"criteria",41,5,"Minimum",5.98513584674087,"270353204","270353204"
"210","E1647635","PM2.5",7.00700691464543,4.66082891537049,"criteria",41,5,"Maximum",32.1348033069981,"270353204","270353204"
"211","100-41-4","Ethylbenzene",NA,3.187170679,"airtoxics",3,5,"Maximum",2.1962287833543,"270370420","270370420"
"212","100-41-4","Ethylbenzene",NA,3.187170679,"airtoxics",3,5,"Mean",0.29703827840729,"270370420","270370420"
"213","100-41-4","Ethylbenzene",NA,3.187170679,"airtoxics",3,5,"Minimum",0.0946807827136855,"270370420","270370420"
"214","100-42-5","Styrene",NA,NA,"airtoxics",3,5,"Maximum",0.200011926882853,"270370420","270370420"
"215","100-42-5","Styrene",NA,NA,"airtoxics",3,5,"Mean",0.0297940115664833,"270370420","270370420"
"216","100-42-5","Styrene",NA,NA,"airtoxics",3,5,"Minimum",0.0176638398046596,"270370420","270370420"
"217","100-44-7","Benzyl Chloride",NA,NA,"airtoxics",3,5,"Maximum",0.000186679039556742,"270370420","270370420"
"218","100-44-7","Benzyl Chloride",NA,NA,"airtoxics",3,5,"Mean",0.000163025716454293,"270370420","270370420"
"219","100-44-7","Benzyl Chloride",NA,NA,"airtoxics",3,5,"Minimum",0.000151289283206291,"270370420","270370420"
"220","10061-01-5","Cis-1,3-Dichloropropene",NA,NA,"airtoxics",3,5,"Mean",0.000623082392849028,"270370420","270370420"
"221","10061-01-5","Cis-1,3-Dichloropropene",NA,NA,"airtoxics",3,5,"Maximum",0.000623082392849028,"270370420","270370420"
"222","10061-01-5","Cis-1,3-Dichloropropene",NA,NA,"airtoxics",3,5,"Minimum",0.000623082392849028,"270370420","270370420"
"223","106-93-4","Ethylene Dibromide",NA,NA,"airtoxics",3,5,"Maximum",0.00539609265978958,"270370420","270370420"
"224","106-93-4","Ethylene Dibromide",NA,NA,"airtoxics",3,5,"Mean",0.00036336133076589,"270370420","270370420"
