COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],Oral CSF [mg/kg/day]-1,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Dibenzo(AI)Pyrene                                           ,189-55-9   ,302.38,489.15,8.4E-15,0.000554,1.41E-08,0.0422,0.00000493,19054607.18,2080000,20800,156000,83200,0.48,0.0011,93682.10653,4.503947429,0.002399717,0.002399717,224587937,224587937,0.00384431,0.018260472,0.022104782,10.7,           ,26693.16064,133000,         ,               ,1,            ,0.054,                               ,             ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Dibenzo(AJ)Acridine                                           ,224-42-0   ,279.34,468.15,1E-12,0.016,1.9E-09,0.0445,0.0000052,467735.1413,93900,939,7042.5,3756,0.48,0.0748,5394.5677,5.745013525,0.020452199,0.020452199,32151551.69,32151551.69,0.008437599,0.040078596,0.048516195,10.7,           ,4633.402194,133000,         ,               ,0.17,            ,0.00018,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Dibenzo(AL)Pyrene                                           ,191-30-0   ,302.28,498.15,9.3E-14,0.00024,1.41E-08,0.0422,0.00000493,19054607.18,4910000,49100,368250,196400,0.48,0.012,93682.10653,1.907985876,0.002399717,0.002399717,224587937,224587937,0.00384431,0.018260472,0.022104782,10.7,           ,26693.16064,133000,         ,               ,51,            ,0.054,                               ,             ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Dibenzo(CG)Carbazole,194-59-2,267.33,470.51,4.45E-12,0.005027,8.24E-10,0.0458,0.00000535,380000,358000,160000,26850,14320,0.48,0.935,9680,0.0605,0.0132,0.0132,0.00747,0.00747,0.0198,0.0628,0.0455,10.7,,7760,133000,,,,,0.0018,,O            ,PAH             ,0.0132,0.0158,0.0277,,,
Dibenzofuran,132-64-9   ,168.19,359.5,0.00000326,3.1,0.000177,0.0624,0.00000722,13182.56739,11226.38676,112.2638676,841.9790073,449.0554705,            ,0.999817518,345.5068386,3.077631707,0.160931107,0.160931107,7.718794202,7.718794202,0.00589,0.028,0.0339,           ,           ,296.7563359,471.9316307,         ,0.001,                    ,            ,                           ,                               ,O            ,F               ,0.160931107,0.0118,0.0206,              ,   ,T      
Dibutyl Phthalate,84-74-2,278.35,280,2.62E-08,2.351,0.00000122,0.0214,0.00000533,40700,1919,,143.925,76.76,,0.9611,,,,,0.0945,0.0945,0.00025,0.000791,,,,167,,,0.1,,,,,,PH              ,,,,,,
Dichlorobenzenes,25321-22-6 ,147,326,0.00194,80,0.00355,0.0682,0.0000079,1910,1680,16.8,126,67.1,3.37,1,77.9,4.65,0.492,0.492,0.049,0.049,0.00307,0.0146,0.0176,           ,           ,66.9,                  ,         ,0.07,0.0054,0.8,0.000011,                               ,O            ,                ,0.492,0.00613,0.0107,              ,   ,T      
"Dichlorobiphenyl 4,4'-",2050-68-2,223.1,355.47,5.62E-08,1.132,0.000227,0.0254,0.00000656,112000,13200,,,,,1,,,,,0.0193,0.0193,0.00387,0.0122,,,,8140,70900,,,0.07,,0.00002,,,PCB             ,,,,,,
"Dichloroethane 1,1-                                    ",75-34-3    ,99,176,0.303,5100,0.0056,0.0742,0.0000105,63.1,53.4,0.06,4.01,2.14,1.64,1,12,189,3.53,3.53,0.000825,0.000825,0.000444,0.00211,0.00255,0.000493,           ,4.85,                  ,         ,0.2,0.0057,            ,0.0000016,                               ,O            ,                ,3.53,0.000888,0.00155,              ,   ,T      
"Dichloroethane, 1,2- (Ethylene Dichloride)             ",107-06-2   ,99,237,0.104,8500,0.00098,0.104,0.0000099,31.6,38,0.035,2.85,1.52,1.41,1,9.63,275,5.26,5.26,0.00226,0.00226,0.000266,0.00126,0.00153,0.00023,           ,2.85,                  ,         ,0.006,0.091,0.4,0.000026,                               ,O            ,                ,5.26,0.000531,0.00093,              ,   ,T      
"Dichloroethylene 1,1-                                  ",75-35-4    ,99,153,0.789,2300,0.026,0.09,0.0000104,126,65,0.12,4.88,2.6,1.41,1,9.62,80.1,2.37,2.37,0.000371,0.000371,0.000712,0.00338,0.00409,0.00105,           ,8.26,                  ,         ,0.05,                    ,0.2,                           ,                               ,O            ,                ,2.37,0.00142,0.00249,              ,   ,T      
"Dichloroethylene, cis-1,2-                             ",156-59-2   ,96.94,193.15,0.263,3500,0.0041,0.001,0.00001,79.43282347,38.28,0.071,2.87,1.53,            ,1,13.1,184,3.09,3.09,0.00144,0.00144,0.000521999,0.002479497,0.003001496,0.000762555,           ,5.79,                  ,         ,0.002,,            ,                           ,                               ,O            ,                ,3.09,0.001043999,0.001826998,              ,   ,T      
"Dichlorophenoxyacetic acid 2,4- (2,4-D)",94-75-7    ,221,414,0.000000109,677,3.56E-08,0.052,0.00000602,646,579,5.79,43.4,23.2,5.06,0.995,33.9,5.85,0.92,0.92,1540,1540,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.01,                    ,            ,                           ,                               ,O            ,Ionizing        ,           ,           ,           ,              ,   ,T      
"Dichloropropane, 1,2-                                  ",78-87-5    ,113,203,0.0684,2800,0.0028,0.0782,0.00000873,100,47,0.09,3.53,1.88,0.2,1,8.05,92.6,2.7,2.7,0.00269,0.00269,0.000611,0.0029,0.00351,0.00141,           ,6.92,                  ,         ,0.09,0.036,0.004,                           ,                               ,O            ,                ,2.7,0.00122,0.00214,              ,   ,T      
"Dichloropropene,13C                                           ",10061-01-5 ,111,225,0.0447,2800,0.018,0.0626,0.00001,39.8,27.1,0.091,2.03,1.08,22.4,1,10.3,113,4.61,4.6,0.000157,0.000157,0.000317,0.0015,0.00182,0.000445,           ,3.4,                  ,         ,0.03,0.1,0.02,0.000004,                               ,O            ,                ,4.6,0.000633,0.00111,              ,   ,T      
"Dichloropropene, 1,3-",542-75-6,111,225,0.0447,2800,0.018,0.0626,0.00001,39.8,27.1,0.091,2.03,1.08,22.4,1,10.3,113,4.61,4.6,0.000157,0.000157,0.000317,0.0015,0.00182,0.000445,           ,3.4,                  ,         ,0.03,0.1,0.02,0.000004,                               ,O            ,                ,4.6,0.000633,0.00111,              ,   ,T      
Diethanolamine,111-42-2   ,105,301,0.000000368,1000000,3.87E-11,0.0853,0.00000988,0.0372,0.0393,0.000393,0.00295,0.00157,14.9,0.998,6.39,16300,260,260,43.3,43.3,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,0.02,                    ,0.003,                           ,                               ,O            ,                ,260,0.00000382,0.00000668,              ,   ,T      
Diethyl Sulfate   ,64-67-5    ,154.185,249.15,0.000278992,7000,0.00000615,0.0661,0.00000765,13.80384265,13.2099143,0.132099143,0.990743573,0.528396572,505.89,0.999997867,8.060993983,61.0223034,8.493369141,8.493369141,0.148925718,0.148925718,0.000136,0.000645,0.000781,           ,           ,1.505913408,                  ,         ,               ,1.2,            ,                           ,                               ,O            ,                ,8.493369141,0.000272,0.000476,              ,   ,T      
Diethylene Glycol Butyl Ether  ,112-34-5   ,162,205,0.0000288,1000000,4.67E-09,0.0639,0.0000074,3.63,3.55,0.0355,0.267,0.142,14.9,1,6.94,195,18.4,18.4,47.2,47.2,0.0000408,0.000194,0.000234,           ,           ,3.16,                  ,         ,0.03,                    ,0.0001,                           ,                               ,O            ,                ,18.4,0.0000815,0.000143,              ,   ,T      
Diethylene Glycol Dimethyl Ether,111-96-6,134.18,235.04,0.0039,179600,0.000000208,,,0.331,1.933,,0.144975,0.07732,,1,,,,,,,,,,,,0.9203,0.9203,,,,,,,,,,,,,,
Di(Ethylene Glycol Monobutyl Ether) Phthalate,16672-39-2,366.46,365.28,0.00000284,1.65,2.96E-10,,,11500,765.9,,57.4425,30.636,,1,,,,,,,,,,,,19.7,19.7,,,,,,,,,,,,,,
Diethylene Glycol Monoethyl Ether,111-90-0,134.18,270.95,0.000123,828000,8.63E-10,0.0562,0.00000797,0.204,1,,0.075,0.04,,1,,,,,79.2,79.2,2.28E-09,7.21E-09,,,,0.9051,0.9051,,,,,,,,,,,,,,
Diethylene Glycol Monomethyl Ether,111-77-3,120.15,259.4,0.000147,1000000,,,,0.0661,1,,0.075,0.04,,1,,,,,,,,,,,,0.8951,0.8951,,,,,,,,,,,,,,
"Difluoroethane 1,1- (HFC-152a)",75-37-6,66.05,115.89,5.06,5656,0.387,0.102,0.0000115,13.5,31.82,,2.3865,1.2728,,1,,,,,14.1,14.1,4.44E-08,0.000000141,,,,1.396,1.396,,40,,,,,,HFC,,,,,,
Difluoromethane (HFC-32),75-10-5,52.02,114.36,9.94,16620,0.292,,,5.13,21.73,,1.62975,0.8692,,1,,,,,,,,,,,,1.026,1.026,,,,,,,,HFC,,,,,,
"Dimethoxyethane 1,2-",110-71-4,90.12,191.69,0.104,188000,0.0000134,,,0.617,2.376,,0.1782,0.09504,,1,,,,,,,,,,,,0.9355,0.9355,,,,,,,,,,,,,,
"Dimethyl Carbamoyl Chloride N,N-",79-44-7,107.54,258.13,0.00236,458500,0.000000723,0.0773,0.0000101,0.191,1,,0.075,0.04,,1,,,,,101,101,1.51E-09,4.76E-09,,,,0.9038,0.9038,,,,,,,,,,,,,,
Dimethyl Phthalate                                     ,131-11-3   ,194,274,0.00000217,4000,0.000000105,0.0568,0.00000629,36.3,34.2,0.34,2.56,1.37,36.1,1,10,29.3,4.86,4.86,24.4,24.4,0.000295,0.0014,0.0017,0.000342,           ,3.17,                  ,         ,,                    ,            ,                           ,                               ,O            ,PH,4.86,0.000591,0.00103,              ,   ,T      
Dimethyl Sulfate,77-78-1    ,126.13,289.12,0.000817,69440,0.0000026,0.0692,0.0000099,1.45,8.491,            ,0.636825,0.33964,            ,1,            ,            ,               ,               ,            ,            ,0.000000114,0.000000361,                   ,           ,           ,0.9941,0.9941,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Dimethylaminoazobenzene,60-11-7,225.3,351.01,4.87E-08,1.46,0.000000234,0.0513,0.000006,19500,2028,,152.1,81.12,,0.326,,,,,0.0849,0.0849,0.0003,0.00095,,,,334.5,335,,,,,,,,,,,,,,
Dimethylanil ,121-69-7   ,121,276,0.000921,1450,0.000077,0.0776,0.00000898,204,187,1.87,14,7.47,36.1,1,14,7.48,1.79,1.79,0.21,0.21,0.000967,0.00459,0.00556,           ,           ,12,                  ,         ,0.002,                    ,            ,                           ,                               ,O            ,                ,1.79,0.00193,0.00338,              ,   ,T      
"Dimethylformamide N,N                                 ",68-12-2    ,73.1,213,0.00509,1000000,0.000000372,0.109,0.0000126,0.0977,0.102,0.00102,0.00763,0.00407,8.43,1,6.39,6280,149,149,0.0126,0.0126,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,0.1,                    ,0.03,                           ,                               ,O            ,                ,149,0.00000382,0.00000668,              ,   ,T      
"Dimethylbenzidine, 3,3'-                             ",119-93-7 ,244.32,410.65,2.79E-10,60,1.81E-13,0.001,0.00001,64.5654229,60.19,0.6,4.51,2.4,1.41,0.859,12.1,20,3.48,3.48,26144296,26144296,0.000451259,0.002143481,0.002594741,0.000512898,           ,4.94,                  ,         ,               ,11,            ,0.00004,                               ,O            ,                ,3.48,0.000902518,0.001579407,              ,   ,T      
"Dimethoxybenzidine, 3,3'-",119-90-4,244.3,435.6,9.2E-09,723.9,1.81E-13,0.0486,0.00000568,120,508.8,,,,,0.99153,,,,,3.43,3.43,0.51,0.00000161,,,,6.458,6.458,,,1.6,,,,,,,,,,,
"Dinitrophenol, 2,4-                                    ",51-28-5    ,184,386,0.00000671,2790,0.000000443,0.0273,0.00000906,34.7,0.01,0.0001,0.0008,0.0004,0.96,1,9.87,98700,4.99,4.99,5.51,5.51,0.0000117,0.0000556,0.0000674,0.000262,           ,3.06,                  ,         ,0.002,                    ,            ,                           ,                               ,O            ,Ionizing        ,4.99,0.0000234,0.000041,              ,   ,T      
"Dinitrotoluene, 2,4-                                   ",121-14-2   ,182,342,0.000000193,270,9.26E-08,0.203,0.00000706,95.5,88.4,0.88,6.63,3.54,1.41,0.999,14.1,15.9,2.78,2.78,77.5,77.5,0.000592,0.00281,0.00341,0.000786,           ,6.68,                  ,         ,0.002,0.31,            ,0.000089,                               ,O            ,                ,2.78,0.00119,0.00207,              ,   ,T      
Di-n-octylphthalate                                    ,117-84-0   ,391,298,3.42E-09,0.02,0.000067,0.001,0.00001,126000000,91700000,13000000,6880000,3670000,9.03,0.852,401000,0.0308,0.000806,0.000806,353000,353000,0.00164,0.00777,0.00941,17000,           ,2.35,462,         ,0.01,,            ,                           ,                               ,O            ,PH              ,0.000806,0.00327,0.00573,              ,   ,T      
"Dioxane, 1,4-                                          ",123-91-1   ,88.1,285,0.0501,1000000,0.0000048,0.229,0.0000102,0.537,0.54,0.01,0.04,0.02,1.41,1,6.45,1190,8.38,8.38,0.00601,0.00601,0.00000557,0.0000265,0.000032,0.00000429,           ,3.16,                  ,         ,0.03,0.1,0.03,0.000005,                               ,O            ,                ,8.38,0.0000111,0.0000195,              ,   ,T      
"DIOXN 2378EQ, Unspeciated                                  ",E17000407  ,356,514,5.79E-13,0.000118,0.0000026,0.0989,0.000008,4370000,2690000,26900,202000,108000,0.03,0.117,30100,1.12,0.00562,0.00562,239000,239000,0.00605,0.0288,0.0348,0.0471,2.5,25900,                  ,0.09,7E-10,1400000,0.00000004,400,                               ,O            ,D               ,0.00455,0.011,0.0192,1,   ,T      
Dimethylbenz(a)Anthracene                         ,57-97-6    ,256,423,2.63E-10,0.061,0.00000111,0.0471,0.00000545,631000,503000,5030,37700,20100,0.7,0.307,6790,1.35,0.0172,0.0172,76000,76000,0.00827,0.0393,0.0476,           ,           ,5830,133000,         ,               ,255,            ,,                               ,O            ,PAH             ,0.0172,0.0165,0.029,              ,   ,T      
"Epichlorohydrin (1-Chloro-2,3- epoxypropane)           ",106-89-8   ,92.5,216,0.0216,65900,0.0000304,0.086,0.0000098,0.617,0.62,0.006,0.05,0.02,9.03,1,6.47,1040,8.38,8.38,0.0011,0.0011,0.0000065,0.0000309,0.0000374,0.0000141,           ,3.16,                  ,         ,0.006,0.0099,0.001,0.0000012,                               ,O            ,                ,8.38,0.000013,0.0000228,              ,   ,T      
"Epoxybutane 1,2-                                  ",106-88-7   ,72.1,123,0.237,95000,               ,0.0929,0.0000104,7.24,9.91,0.0991,0.743,0.396,            ,1,7.38,74.4,12.3,12.3,            ,            ,0.0000775,0.000368,0.000445,           ,           ,3.16,                  ,         ,               ,                    ,0.02,                           ,                               ,O            ,                ,12.3,0.000155,0.000271,              ,   ,T      
Ethyl Acrylate                                      ,140-88-5   ,100,202,0.0508,15000,0.000339,0.0881,0.0000102,20.9,19.9,0.199,1.49,0.794,36.1,1,8.72,43.9,6.68,6.68,0.0042,0.0042,0.000191,0.000909,0.0011,           ,           ,2.07,                  ,         ,0.0137,,            ,                           ,                               ,O            ,                ,6.68,0.000383,0.00067,              ,   ,T      
Ethylbenzene                                           ,100-41-4   ,106,178,0.0126,170,0.0079,0.075,0.0000078,1260,204,0.73,15.3,8.16,25.3,1,56.6,77.6,0.625,0.625,0.0142,0.0142,0.00256,0.0121,0.0147,0.0105,           ,48.6,                  ,         ,0.1,0.011,1,0.0000025,                               ,O            ,                ,0.625,0.00511,0.00895,              ,   ,T      
Ethylene Dibromide                                     ,106-93-4   ,188,283,0.0171,4000,0.00074,0.001,0.00001,100,92.5,0.085,6.94,3.7,1.41,1,8.05,94.8,2.7,2.7,0.0102,0.0102,0.000611,0.0029,0.00351,0.000447,           ,6.92,                  ,         ,0.009,2,0.009,0.00022,                               ,O            ,                ,2.7,0.00122,0.00214,              ,   ,T      
Ethylene Glycol                                  ,107-21-1   ,62.1,260,0.000121,1000000,7.51E-09,0.121,0.000014,0.0437,0.0461,0.000461,0.00346,0.00184,14.9,1,6.39,13900,237,237,0.265,0.265,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,2,                    ,0.4,                           ,                               ,O            ,                ,237,0.00000382,0.00000668,              ,   ,T      
Ethylene Glycol Monobutyl Ether Acetate,112-07-2   ,160.21,258.77,0.000703,3103,0.00000638,           ,           ,37.2,15.08,            ,1.131,0.6032,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,2.573,2.573,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Ethylene Glycol Monomethyl Ether Acetate,111-15-9   ,132.158,211.45,0.00307944,247000,0.00000165,0.0732,0.00000848,3.89045145,3.804083139,0.038040831,0.285306235,0.152163326,8.4315,1,6.968928548,183.1960105,17.65956493,17.65956493,0.144174113,0.144174113,0.0000435,0.000207,0.00025,           ,           ,3.16227766,                  ,         ,0.1,                    ,0.3,                           ,                               ,O            ,                ,17.65956493,0.0000871,0.000152,              ,   ,T      
Ethylene Imine,151-56-4,43.07,214.33,0.303,1000000,0.00000733,0.133,0.0000142,0.525,9.043,,0.678225,0.36172,,1,,,,,56,56,4.15E-09,1.31E-08,,,,0.9343,0.9343,,,65,,0.019,,O            ,,,,,,,
Ethylene Oxide                                         ,75-21-8    ,44.1,162,1.73,1000000,0.000148,0.104,0.0000145,0.501,0.51,0.005,0.04,0.02,21.3,1,6.44,1270,8.38,8.38,0.000181,0.000181,0.00000515,0.0000245,0.0000296,0.00000398,           ,3.16,                  ,         ,,1.02,0.03,0.000088,                               ,O            ,                ,8.38,0.0000103,0.000018,              ,   ,T      
"Ethylhexyl Phthalate, Bis-2-   (DEHP)                ",117-81-7   ,391,218,8.95E-11,0.34,0.0000001,0.0351,0.00000366,126000,111000,2300000,8330,4440,11,0.131,1960,0.000854,0.0437,0.0437,151000,151000,0.0084,0.0399,0.0483,1.27,           ,53.3,194,         ,0.02,0.014,            ,0.0000024,                               ,O            ,PH              ,0.0437,0.0168,0.0294,              ,   ,T      
Fluoranthene                                           ,206-44-0   ,202,383,1.03E-08,0.21,0.000016,0.001,0.00001,100000,49100,11000,3680,1960,0.57,0.992,1640,0.15,0.0499,0.0499,738,738,0.00826,0.0392,0.0475,0.965,           ,1410,4490,         ,0.04,                    ,            ,0.00014,                               ,O            ,PAH             ,0.0499,0.0165,0.0289,              ,   ,T      
Fluorene                                               ,86-73-7    ,166,383,0.000000829,2,0.000064,0.001,0.00001,15800,7710,2100,578,308,4.22,1,398,0.19,0.145,0.145,26,26,0.00616,0.0293,0.0354,0.117,           ,342,472,         ,0.04,                    ,            ,                           ,                               ,O            ,PAH             ,0.145,0.0123,0.0216,              ,   ,T      
Formaldehyde                                           ,50-00-0    ,30,181,6.89,550000,0.000000336,0.178,0.0000198,2.24,2.21,0.02,0.17,0.09,36.1,1,6.74,305,8.38,8.38,0.392,0.392,0.0000254,0.000121,0.000146,0.0000175,           ,3.16,                  ,         ,0.2,                    ,0.009,0.000005,                               ,O            ,                ,8.38,0.0000508,0.0000888,              ,   ,T      
"Glycol Ethers, Unspeciated                                     ",E651141    ,76.1,188,0.0125,1000000,0.000000951,0.106,0.0000123,0.17,0.175,0.00175,0.0131,0.00701,8.43,1,6.39,3650,108,108,0.00889,0.00889,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,               ,                    ,0.02,                           ,                               ,O            ,                ,108,0.00000382,0.00000668,              ,   ,T      
"HeptaCDD, 1,2,3,4,6,7,8-                               ",35822-46-9 ,425,538,7.37E-15,0.0000024,0.000012,0.0905,0.000008,100000000,61700000,617000,4620000,2470000,0.03,0.003,336000,0.545,0.00092,0.00092,910000,910000,0.00185,0.00877,0.0106,0.0255,0.39,2750,                  ,0.005,0.00000007,14000,0.000004,4,                               ,O            ,D               ,0.00092,0.00369,0.00646,0.01,   ,T      
"HeptaCDF, 1,2,3,4,6,7,8-                               ",67562-39-4 ,409,510,4.61E-14,0.00000135,0.0000141,0.0203,0.000008,25100000,15500000,155000,1160000,620000,0.03,0.01,116000,0.748,0.00205,0.00205,830000,830000,0.00346,0.0164,0.0199,0.0209,0.32,18300,                  ,0.005,0.00000007,14000,0.000004,4,                               ,O            ,F               ,0.00205,0.00692,0.0121,0.01,   ,T      
"HeptaCDF, 1,2,3,4,7,8,9-                               ",55673-89-7 ,409,495,4.04E-13,0.0000014,0.000014,0.0203,0.000008,25100000,15500000,155000,1160000,620000,0.03,0.057,116000,0.748,0.00205,0.00205,830000,830000,0.00346,0.0164,0.0199,0.0242,0.48,18300,                  ,0.005,0.00000007,14000,0.000004,4,                               ,O            ,F               ,0.00205,0.00692,0.0121,0.01,   ,T      
"Heptachlorobiphenyls, Unspeciated                      ",28655-71-2 ,326,283,0.000000101,0.043,0.000283,0.001,0.00001,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,0.000045,42,0.0013,0.008571429,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
"HexaCDD, 1,2,3,4,7,8-                                  ",39227-28-6 ,391,547,5E-14,0.00000442,0.0000107,0.0944,0.000008,63100000,38900000,389000,2920000,1560000,0.03,0.024,236000,0.605,0.0012,0.0012,520000,520000,0.00232,0.011,0.0133,0.0453,1.83,5180,                  ,0.04,0.000000007,140000,0.0000004,40,                               ,O            ,D               ,0.0012,0.00463,0.00811,0.1,   ,T      
"HexaCDD, 1,2,3,6,7,8-                                  ",57653-85-7 ,391,559,4.73E-14,0.0000044,0.000011,0.0944,0.000008,20000000,12300000,123000,923000,492000,0.03,0.029,97100,0.789,0.00234,0.00233,520000,520000,0.00378,0.018,0.0217,0.037,1.17,25100,                  ,0.04,0.000000007,6200,0.0000004,40,                               ,O            ,D               ,0.00234,0.00756,0.0132,0.1,   ,T      
"HexaCDD, 1,2,3,7,8,9-                                  ",19408-74-3 ,391,517,6.45E-14,0.0000044,0.000011,0.0944,0.000008,20000000,12300000,123000,923000,492000,0.03,0.016,97100,0.789,0.00234,0.00234,520000,520000,0.00378,0.018,0.0217,0.0233,0.63,25100,                  ,0.04,0.000000007,140000,0.0000004,40,                               ,O            ,D               ,0.00234,0.00756,0.0132,0.1,   ,T      
"HexaCDF, 1,2,3,4,7,8-                                  ",70648-26-9 ,375,499,3.16E-13,0.00000825,0.0000143,0.0212,0.000008,10000000,6170000,61700,462000,247000,0.03,0.049,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0451,1.58,49000,                  ,0.04,0.000000007,140000,0.0000004,40,                               ,O            ,F               ,0.00348,0.0096,0.0168,0.1,   ,T      
"HexaCDF, 1,2,3,6,7,8-                                  ",57117-44-9 ,375,506,2.89E-13,0.0000177,0.00000731,0.0212,0.000008,10000000,6170000,61700,462000,247000,0.03,0.052,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0453,1.62,49000,                  ,0.04,0.000000007,140000,0.0000004,40,                               ,O            ,F               ,0.00348,0.0096,0.0168,0.1,   ,T      
"HexaCDF, 1,2,3,7,8,9-                                  ",72918-21-9 ,375,521,3.68E-13,0.000013,0.000011,0.0212,0.000008,10000000,6170000,61700,462000,247000,0.03,0.09,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,           ,           ,49000,                  ,0.04,0.000000007,140000,0.0000004,40,                               ,O            ,F               ,0.00348,0.0096,0.0168,0.1,   ,T      
"HexaCDF, 2,3,4,6,7,8-                                  ",60851-34-5 ,375,513,2.63E-13,0.000013,0.000011,0.0212,0.000008,10000000,6170000,61700,462000,247000,0.03,0.055,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0271,0.79,49000,                  ,0.04,0.000000007,140000,0.0000004,40,                               ,O            ,F               ,0.00348,0.0096,0.0168,0.1,   ,T      
"Hexachloro-1,3-butadiene (Perchlorobutadiene)          ",87-68-3    ,261,252,0.000289,3.2,0.0081,0.0561,0.00000616,63100,7580,7600,568,303,1.41,1,1150,0.152,0.065,0.0651,0.893,0.893,0.00789,0.0375,0.0454,0.428,           ,991,2430,         ,0.001,0.078,            ,0.000022,                               ,O            ,                ,0.065,0.0158,0.0276,              ,   ,T      
Hexachlorobenzene                                      ,118-74-1   ,285,503,2.37E-08,0.0000062,0.0013,0.0542,0.00000591,200000,80000,110,6000,3200,0.12,1,2800,25,0.0335,0.033,19,19,0.00855,0.0406,0.0492,2.53,           ,2400,11500,         ,0.0008,1.6,            ,0.00046,                               ,O            ,                ,0.0335,0.0171,0.0299,              ,   ,T      
"Hexachlorobiphenyls, Unspeciated                       ",26601-64-9 ,326,283,0.000000101,0.043,0.000283,0.001,0.00001,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,0.000045,42000,0.0000013,8.571428571,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
Hexachlorocyclopentadiene                              ,77-47-4    ,273,284,0.0000789,1.8,0.027,0.001,0.00001,110000,11700,117,880,470,9.03,1,1770,15,0.0473,0.0473,0.483,0.483,0.00832,0.0395,0.0478,0.641,           ,1520,5520,         ,0.006,                    ,0.0002,                           ,                               ,O            ,                ,0.0473,0.0166,0.0291,              ,   ,T      
Hexachloroethane (Perchloroethane)                     ,67-72-1    ,236.74,459.95,0.000276,50,0.00389,0.0025,0.0000068,8511.380382,1550.84,15.51,116.31,62.03,1.41,1,247,15.9,0.207,0.207,0.22,0.22,0.005225344,0.024820384,0.030045728,0.076740051,           ,212,                  ,         ,0.0007,0.04,            ,0.000004,                               ,O            ,                ,0.207,0.010450688,0.018288704,              ,   ,T      
Hexafluoroethane (PFC-116),76-16-4,138.01,118.34,19.8,302.8,24.1,,,141,196.8,,14.76,7.872,,0.676,,,,,,,,,,,,11.08,11.08,,,,,,,,,,,,,,
"Hexamethylene 1,6 Diisocyante               ",822-06-0   ,168,206,0.0000395,117,0.0000568,0.0624,0.00000722,1580,1400,14,105,56,8.43,1,67.6,4.83,0.548,0.548,2.52,2.52,0.00283,0.0135,0.0163,           ,           ,58.1,                  ,         ,               ,                    ,0.00001,                           ,                               ,O            ,                ,0.548,0.00567,0.00992,              ,   ,T      
Hexyethanol 2-                                           ,112-25-4   ,146.23,276.55,0.0000595,6577,0.000000173,           ,           ,35.5,10,            ,0.75,0.4,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Hydrogen Chloride                                      ,7647-01-0  ,35.45,159,46.6,720000,0.00236,0.001,0.00001,3.47,13.22,            ,0.9915,0.5288,            ,0.539,            ,            ,               ,               ,            ,            ,0.000011,0.0000523,0.0000633,           ,           ,3.16,                  ,         ,               ,                    ,0.02,                           ,                               ,I            ,                ,           ,0.000022,0.0000386,              ,   ,T      
Hydrogen Fluoride                              ,7664-39-3  ,20,190,1.21,1000000,7.62E-14,           ,           ,1.71,13.2,            ,0.99,0.528,1.27,0.74,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.04,                    ,0.014,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
