SCC Code,Data Category Code,Short Desc,Level 1 Desc,Level 2 Desc,Level 3 Desc,Level 4 Desc,EI Sector
2701461000,BIOGENIC,Biogenic - Wetlands/Forested Wetlands (Anderson Land Use Code 61) - Total,Natural Sources,Biogenic,Wetlands/Forested Wetlands (Anderson Land Use Code 61),Total,Miscellaneous Non-Industrial NEC
2701462000,BIOGENIC,Biogenic - Wetlands/Nonforested Wetlands (Anderson Land Use Code 62) - Total,Natural Sources,Biogenic,Wetlands/Nonforested Wetlands (Anderson Land Use Code 62),Total,Miscellaneous Non-Industrial NEC
2730050000,BIOGENIC,Geogenic - Geyser/Geothermal - Total,Natural Sources,Geogenic,Geyser/Geothermal,Total,Miscellaneous Non-Industrial NEC
2730001000,BIOGENIC,Geogenic - Volcanos - Total,Natural Sources,Geogenic,Volcanos,Total,Miscellaneous Non-Industrial NEC
2730100001,BIOGENIC,Geogenic - Wind Erosion - Dust Devils,Natural Sources,Geogenic,Wind Erosion,Dust Devils,Miscellaneous Non-Industrial NEC
2730100000,BIOGENIC,Geogenic - Wind Erosion - Total,Natural Sources,Geogenic,Wind Erosion,Total,Miscellaneous Non-Industrial NEC
2740030000,BIOGENIC,Miscellaneous - Fresh Water - Total,Natural Sources,Miscellaneous,Fresh Water,Total,Miscellaneous Non-Industrial NEC
2740030010,BIOGENIC,Miscellaneous - Fresh Water - Water/Barren,Natural Sources,Miscellaneous,Fresh Water,Water/Barren,Miscellaneous Non-Industrial NEC
2740001000,BIOGENIC,Miscellaneous - Lightning - Total,Natural Sources,Miscellaneous,Lightning,Total,Miscellaneous Non-Industrial NEC
2740040000,BIOGENIC,Miscellaneous - Salt Water - Total,Natural Sources,Miscellaneous,Salt Water,Total,Miscellaneous Non-Industrial NEC
2740040010,BIOGENIC,Miscellaneous - Salt Water - Water/Barren,Natural Sources,Miscellaneous,Salt Water,Water/Barren,Miscellaneous Non-Industrial NEC
2740020000,BIOGENIC,Miscellaneous - Water - Total,Natural Sources,Miscellaneous,Water,Total,Miscellaneous Non-Industrial NEC
2740020010,BIOGENIC,Miscellaneous - Water - Water/Barren,Natural Sources,Miscellaneous,Water,Water/Barren,Miscellaneous Non-Industrial NEC
2811500111,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Alfalfa : Headfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Alfalfa : Headfire Burning,Fires - Agricultural Field Burning
2811500112,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Alfalfa: Backfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Alfalfa: Backfire Burning,Fires - Agricultural Field Burning
2811500120,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Asparagus: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Asparagus: Burning Techniques Not Significant,Fires - Agricultural Field Burning
2811500130,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Barley: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Barley: Burning Techniques Not Significant,Fires - Agricultural Field Burning
2811500142,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Bean (red): Backfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Bean (red): Backfire Burning,Fires - Agricultural Field Burning
2811500141,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Bean (red): Headfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Bean (red): Headfire Burning,Fires - Agricultural Field Burning
2811500150,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Corn: Burning Techniques Not Important,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Corn: Burning Techniques Not Important,Fires - Agricultural Field Burning
2811500160,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Cotton: Burning Techniques Not Important,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Cotton: Burning Techniques Not Important,Fires - Agricultural Field Burning
2811500170,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Grasses: Burning Techniques Not Important,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Grasses: Burning Techniques Not Important,Fires - Agricultural Field Burning
